NGC189;00h39.6m;+61d06m;Carina;Open Clus;8.8;5m;Caroline Herschel
NGC225;00h43.6m;+61d46m;Carina;Open Clus;7;15m;Caroline Herschel
NGC281;00h52.8m;+56d37m;Carina;Bright Neb;7.8;35m-30m;Pacman Neb
NGC288;00h52.8m;-26d35m;Sagittarius;Glob Clus;7.9;13m;None
NGC404;01h09.4m;+35d43m;Andromeda;Gal;9.8;6.6m-6.6m;Mirachms Ghost
NGC584;01h31.3m;-06d52m;Cepheus;Gal;10.4;3.8m-2.4m;Little Spindle
NGC659;01h44.4m;+60d40m;Carina;Open Clus;8.2;6m;Caroline Herschel
NGC772;01h59.3m;+19d00m;Ara;Gal;9.9;7.1m-4.7m;Fiddlehead
NGC908;02h23.1m;-21d14m;Cepheus;Gal;10.4;6.1m-2.7m;None
NGC1023;02h40.4m;+39d04m;Pegasus;Gal;9.3;7.5m-3.0m;Perseus Lenticular
NGC1232;03h09.8m;-20d35m;Equuleus;Gal;9.5;7.2m-5.7m;Eye of God
NGC1291;03h17.3m;-41d06m;Equuleus;Gal;8.6;11.1m-10.1m;Snow Collar Gal
NGC1316;03h22.7m;-37d12m;Eridanus;Gal;8.2;13.5m-9.3m;Fornax A
Mel20;03h24.3m;+49d52m;Pegasus;Open Clus;2.3;300m;Alpha Per. Moving Clus
NGC1333;03h29.3m;+31d25m;Pegasus;Bright Neb;5.7;6m-3m;Embryo Neb
NGC1360;03h33.2m;-25d52m;Eridanus;Planetary Neb;9.1;9m-5m;Comet Planetary
NGC1365;03h33.6m;-36d08m;Eridanus;Gal;8.3;11.2m-5.9m;None
NGC1399;03h38.5m;-35d27m;Eridanus;Gal;8.8;8.1m-7.6m;None
NGC1398;03h38.9m;-26d20m;Eridanus;Gal;9.5;7.6m-5.3m;None
NGC1404;03h38.9m;-35d36m;Eridanus;Gal;9.7;4.8m-3.9m;None
Kem1;03h57.4m;+63d04m;Caelum;Asterism;----;180m;Kemble-s Cascade
NGC1501;04h07.0m;+60d55m;Caelum;Planetary Neb;10.6;56m-48m;Oyster Neb
NGC1502;04h07.8m;+62d20m;Caelum;Open Clus;6;20m;Jolly Roger Clus
NGC1535;04h14.3m;-12d44m;Equuleus;Planetary Neb;9.1;48m-42m;Cleopatrams Eye
NGC1528;04h15.3m;+51d13m;Pegasus;Open Clus;6.2;18m;m&m Double Clus
NGC1545;04h20.9m;+50d15m;Pegasus;Open Clus;6.6;12m;m&m Double Clus
NGC1647;04h45.7m;+19d07m;Sextans;Open Clus;6.2;40m;Pirate Moon Clus
IC418;05h27.5m;-12d42m;Leo Minor;Planetary Neb;9.1;14m-11m;Spirograph Neb
